cedula,nombre_completo,direccion,telefono,correo_electronico
1000,Cliente 1,Calle 1 #10-5,3001234500,cliente1@tienda.com
1001,Cliente 2,Calle 2 #10-6,3001234501,cliente2@tienda.com
1002,Cliente 3,Calle 3 #10-7,3001234502,cliente3@tienda.com
1003,Cliente 4,Calle 4 #10-8,3001234503,cliente4@tienda.com
1004,Cliente 5,Calle 5 #10-9,3001234504,cliente5@tienda.com
1005,Cliente 6,Calle 6 #10-10,3001234505,cliente6@tienda.com
1006,Cliente 7,Calle 7 #10-11,3001234506,cliente7@tienda.com
1007,Cliente 8,Calle 8 #10-12,3001234507,cliente8@tienda.com
1008,Cliente 9,Calle 9 #10-13,3001234508,cliente9@tienda.com
1009,Cliente 10,Calle 10 #10-14,3001234509,cliente10@tienda.com
1010,Cliente 11,Calle 11 #10-15,3001234510,cliente11@tienda.com
1011,Cliente 12,Calle 12 #10-16,3001234511,cliente12@tienda.com
1012,Cliente 13,Calle 13 #10-17,3001234512,cliente13@tienda.com
1013,Cliente 14,Calle 14 #10-18,3001234513,cliente14@tienda.com
1014,Cliente 15,Calle 15 #10-19,3001234514,cliente15@tienda.com
1015,Cliente 16,Calle 16 #10-20,3001234515,cliente16@tienda.com
1016,Cliente 17,Calle 17 #10-21,3001234516,cliente17@tienda.com
1017,Cliente 18,Calle 18 #10-22,3001234517,cliente18@tienda.com
1018,Cliente 19,Calle 19 #10-23,3001234518,cliente19@tienda.com
1019,Cliente 20,Calle 20 #10-24,3001234519,cliente20@tienda.com
